,country,name,releaseDate,issue,produce,theaterCount,tickets,ticketChangeRate,amounts,totalTickets,totalAmounts,week,week_amount
110,澳洲,聖雅各的天空,2020-08-21T00:00:00,海鵬影業有限公司,Parkland Pictures Limited,1,86,-0.516853933,4300,9440,2009489,0104-0110,87609439
111,中華民國,孤味 (長片版),2020-11-06T00:00:00,彼此影業股份有限公司,彼此影業股份有限公司##秀泰國際娛樂有限公司##中環國際娛樂事業股份有限公司##Midori International Holdings Limited##威威巖娛樂製作有限公司,80,6169,-0.627183175,1414545,800730,185102189,0104-0110,87609439
112,美國,TENET天能,2020-08-27T00:00:00,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,9,944,-0.376486129,85074,1386043,349645633,0104-0110,87609439
113,日本,東京教父:4K數位修復版,2020-08-19T00:00:00,光年映畫有限公司,"TOHOKUSHINSHA FILM CORPORATION		",3,21,-0.487804878,4520,16571,3910874,0104-0110,87609439
114,中華民國,腿,2020-12-24T00:00:00,甜蜜生活製作有限公司,鏡文學股份有限公司##華文創股份有限公司##甜蜜生活製作有限公司,60,4128,-0.651321902,967162,30226,7009066,0104-0110,87609439
115,西班牙,玩美女人 經典數位修復,2020-10-30T00:00:00,天馬行空數位有限公司,TF1 DROITS AUDIOVISUELS ,1,9,-0.82,1980,697,146020,0104-0110,87609439
116,法國,森林特攻隊：大腳丫家族,2020-09-30T00:00:00,可樂藝術文創股份有限公司,Charades,1,22,-0.694444444,3300,25064,5140884,0104-0110,87609439
117,中華民國,同學麥娜絲,2020-11-20T00:00:00,甜蜜生活製作有限公司,甜蜜生活製作有限公司##華文創股份有限公司,16,874,-0.569670113,209734,188724,44102188,0104-0110,87609439
118,西班牙,高跟鞋 經典數位修復,2020-10-30T00:00:00,天馬行空數位有限公司,TF1 DROITS AUDIOVISUELS ,1,9,1,1840,707,147594,0104-0110,87609439
119,美國,倒數反擊,2020-10-08T00:00:00,威視股份有限公司,"Honest Thief Productions, LLC",6,821,-0.061714286,63785,201733,47169928,0104-0110,87609439
120,中華民國,海霧,2020-09-11T00:00:00,海樂影業股份有限公司,"松露文化創意有限公司,愛奇藝電影集團香港有限公司,台灣太陽娛樂有限公司,非凡娛樂製作有限公司,兔將創意影業股份有限公司",1,18,-0.735294118,2120,50826,11369673,0104-0110,87609439
121,巴西,中央車站:數位修復版,2020-09-11T00:00:00,光年映畫有限公司,MACT Productions,1,52,0.083333333,5900,6801,1482380,0104-0110,87609439
122,美國,密弒直播,2020-09-11T00:00:00,威視股份有限公司,"MELVILLE FILMS, INC.",1,52,1,6120,14891,3201017,0104-0110,87609439
123,西班牙,破碎的擁抱 經典數位修復,2020-10-30T00:00:00,天馬行空數位有限公司,TF1 DROITS AUDIOVISUELS ,1,14,-0.695652174,2775,563,116161,0104-0110,87609439
124,中華民國,無聲,2008-10-09T00:00:00,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,財團法人公共電視文化事業基金會##氧氣電影有限公司##滿滿額娛樂股份有限公司##畢業生有限公司##英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,1,26,0.733333333,2720,209805,49900755,0104-0110,87609439
125,法國,藥頭大媽,2020-10-16T00:00:00,原創娛樂股份有限公司,Le Pacte,2,34,-0.617977528,5040,2042,409848,0104-0110,87609439
126,日本,工作細胞!!特別上映版 強『菌』來襲！人體腸道大騷動!,2020-10-08T00:00:00,木棉花國際股份有限公司,KODANSHA LTD.,2,209,1,43400,31672,7309497,0104-0110,87609439
